# BEAST v1.7.5
# Generated Sun Apr 07 14:14:09 BST 2013 [seed=1365340446246]
state	posterior	prior	likelihood	treeLikelihood	skyline	treeModel.rootHeight	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline.groupSize6	skyline.groupSize7	skyline.groupSize8	skyline.groupSize9	skyline.groupSize10
500000	-10767.121813159665	-2501.254903040587	-8265.866910119079	-8265.866910119079	-2310.6066107978877	1.959913057761708	8.121157620564114	0.37011331174882206	0.1764350285789664	0.19780308918647457	0.2556485704857373	0.0013739194494179164	873.9579479567439	114.98333545823385	388.75012126678484	330.7870465470932	71.87406077014876	25.29631046459325	8.219277751521776	4.220491198411274	2.984805068760504	0.5798200595352436	7.0	41.0	6.0	39.0	144.0	123.0	74.0	40.0	26.0	13.0
525000	-10691.672863302956	-2443.36968552307	-8248.303177779886	-8248.303177779886	-2253.789500365681	2.030636871812438	7.251329052196468	0.37420973947611313	0.17317767689495772	0.199705513132564	0.2529070704963654	0.0014402585977367614	1553.4472080211333	97.20404879765456	180.7930879172738	378.33085301560044	63.08142386772908	26.076841712948774	18.943334263354508	3.5766752240507134	1.0607744991436596	0.10597785147634703	5.0	32.0	18.0	34.0	152.0	112.0	60.0	59.0	40.0	1.0
550000	-10665.885368817304	-2454.080578406437	-8211.804790410868	-8211.804790410868	-2263.623722479793	1.7264674539266411	7.521525115820936	0.3741259918624938	0.17916887596950262	0.19535301989662798	0.2513521122713759	0.0014512447750398196	1619.8969889471055	169.70467960009802	271.7994917584135	556.4915725872185	78.11783168963315	21.72515799061524	10.41603970236283	5.641579197643257	0.7043908073568957	0.34615586146444033	7.0	15.0	17.0	40.0	155.0	134.0	59.0	45.0	31.0	10.0
575000	-10596.310171302095	-2383.548254966815	-8212.761916335281	-8212.761916335281	-2197.071908041784	1.4580757377001154	7.354666449829882	0.37571775349327774	0.17920550359438486	0.19227793336385687	0.2527988095484808	0.0016385498019222437	339.0381018929786	278.3227762691194	148.9510756752992	311.4221592844717	74.5709522201628	16.291432343441844	16.787913544421386	4.335111046480206	0.9442523409969293	0.09186943250041706	7.0	13.0	22.0	46.0	138.0	139.0	57.0	47.0	32.0	12.0
600000	-10560.371376317573	-2382.7773862944996	-8177.593990023072	-8177.593990023072	-2195.8704933342638	1.3721453249460986	6.871344083280076	0.38205024956478695	0.17168438548087622	0.20120166333772355	0.24506370161661362	0.0014944097578189007	761.726437814099	188.84375768697598	236.57991530936079	274.46522643496075	58.59212679670028	22.62769595834979	11.953906028719368	2.759491613287639	1.448395346900327	0.3086463089935148	17.0	2.0	19.0	47.0	143.0	139.0	48.0	65.0	19.0	14.0
625000	-10574.821633700776	-2422.9388660952413	-8151.882767605535	-8151.882767605535	-2234.6487464119505	1.404449855130228	7.463075795683765	0.3589378775380574	0.17824490198167542	0.20309750283154096	0.25971971764872664	0.0014656470829838865	375.9308845936716	217.39347328606087	476.29245202760245	439.1054301974297	61.97946046200837	21.600982520233927	17.254631411349283	3.6634010006669833	1.245653335001896	0.08428368179819838	24.0	12.0	10.0	34.0	146.0	142.0	47.0	63.0	19.0	16.0
650000	-10483.84148107978	-2363.1625642216313	-8120.67891685815	-8120.67891685815	-2176.273825382323	1.3210669313186933	7.834382698042202	0.3533887611056121	0.17576122725394777	0.21224793380787013	0.2586020778325704	0.001629380997624213	367.9231126606733	611.9769519138188	48.09292989290123	181.88032510287584	56.18166595372178	23.029159556736225	9.69258519246044	3.7682247129247477	0.7463853417783324	0.10781770804270692	19.0	35.0	8.0	23.0	140.0	149.0	49.0	56.0	19.0	15.0
675000	-10468.302542344769	-2363.972092051159	-8104.330450293609	-8104.330450293609	-2173.273851525053	1.3527314684073655	8.404756487274277	0.38209960123712233	0.17410521921951422	0.20212273447031323	0.24167244507305055	0.0015224692865780823	378.0189895242664	400.36863121745404	2143.684563995491	133.06632058061695	55.43963107529046	24.842710469203272	8.15482887467928	3.503013727743403	0.5821619027013004	0.08022574697417566	13.0	31.0	5.0	40.0	145.0	149.0	63.0	39.0	9.0	19.0
700000	-10372.910639919159	-2338.4000881206216	-8034.510551798537	-8034.510551798537	-2151.532659517823	1.3117761857039816	7.588294390271817	0.3637159393144968	0.19108416968851424	0.2117928948150468	0.23340699618194244	0.0014961827549089515	233.8508989737609	679.1572115050537	370.77945563025855	78.51095118821965	50.33141088704281	26.24340215810215	4.278787411812442	7.8567624998532315	0.7347305215214417	0.13761593151004778	11.0	37.0	1.0	38.0	151.0	144.0	60.0	34.0	14.0	23.0
725000	-10345.327146056874	-2326.598007990017	-8018.729138066858	-8018.729138066858	-2144.737936043416	1.4546848786173472	7.2939756726078935	0.3602874054275995	0.1842433409063433	0.2040744384848163	0.2513948151812411	0.0017292881184477612	171.1246616062276	415.48064312773613	49.716223017066504	77.34093099491618	51.66950589198247	24.32288868656066	3.4821398796549636	3.2541189862448903	0.5505934961610023	0.13173375009809357	12.0	41.0	4.0	39.0	153.0	128.0	70.0	38.0	15.0	13.0
750000	-10337.874593821633	-2395.1786574347866	-7942.695936386846	-7942.695936386846	-2211.53053678486	1.2991232511672832	7.423070165494647	0.3676540750322316	0.18906496016241497	0.20568963388283137	0.23759133092252233	0.0014542377047219433	225.42287854000725	361.26391314262867	153.54920499147656	145.72629676236292	67.54367737843188	27.898458941220934	5.398757179144948	4.547222257738973	0.22319887133764318	0.24588392144376112	14.0	52.0	16.0	29.0	127.0	123.0	58.0	65.0	10.0	19.0
775000	-10278.197123792746	-2414.6929080960585	-7863.504215696687	-7863.504215696687	-2230.4804280199887	1.4395593681262497	7.69668653362482	0.35843407781043973	0.19482670101713304	0.19885403047584327	0.24788519069658418	0.0014830065154152656	238.41804179289636	260.54171414654604	72.90128327120189	108.42822381095746	95.31640786379627	28.400886974561587	6.448399715528887	5.731707228906679	1.0936559079441328	0.10409359526899331	2.0	65.0	16.0	32.0	129.0	117.0	43.0	74.0	17.0	18.0
800000	-10270.45667105587	-2414.2675633394656	-7856.189107716405	-7856.189107716405	-2229.5563784716082	1.373937251390306	8.29374548798851	0.37028212035708985	0.18970574878435043	0.20411649671316986	0.23589563414539014	0.0014368277609488245	202.3452520824402	287.11117698140515	181.86615936157585	248.02820349359493	75.08914722790044	24.112734996640533	13.090467150694153	4.3438440065133435	0.25056131956833994	0.19374642830348546	8.0	53.0	8.0	35.0	141.0	116.0	44.0	76.0	22.0	10.0
825000	-10221.014404401685	-2357.789732607536	-7863.224671794149	-7863.224671794149	-2176.249273310991	1.190791147309392	8.815520975491948	0.37347011820537196	0.18970574878435043	0.1892487225412579	0.24757541046901999	0.0016414338914628136	117.69371518696265	219.8482481166208	69.89574807479048	77.147476595272	67.38409785096246	21.380218399366406	11.95128606963474	3.5545127562579886	0.5701424136597742	0.08252098114471013	7.0	55.0	23.0	31.0	140.0	86.0	65.0	79.0	22.0	5.0
850000	-10171.546842072945	-2345.9302270470566	-7825.616615025888	-7825.616615025888	-2160.525485573338	1.2279568917668975	10.687464233225281	0.37244854245722403	0.1836328958324145	0.2007399811126606	0.24317858059770117	0.0016921477649111732	82.02819438769106	209.07653387415297	43.31864395657796	189.40685190970675	58.9475771931623	24.232734461541636	15.906721757424688	2.7728790726023704	0.8206580464716192	0.11374779146305464	11.0	73.0	27.0	17.0	126.0	80.0	74.0	79.0	15.0	11.0
875000	-10199.59236224718	-2359.504252322309	-7840.088109924871	-7840.088109924871	-2172.757270352946	1.3928695814109988	7.094075330437008	0.3828484687675915	0.162791215279663	0.2056595211366133	0.2487007948161325	0.0015529252754927457	447.34860572632914	156.07194707323094	93.52789506278305	369.2998985381772	71.31735272739547	20.045241860280154	13.966699831977106	3.317614830236697	0.6485013570940278	0.2079099599325854	11.0	65.0	7.0	21.0	134.0	91.0	82.0	77.0	23.0	2.0
900000	-10194.387862672935	-2380.52897203659	-7813.858890636346	-7813.858890636346	-2196.741641586036	1.3666114027462593	8.207214000173773	0.35478129983339507	0.1903328127233805	0.20212556835717493	0.2527603190860498	0.0017045635361210864	164.6851826922349	170.9038515520033	230.30892457328753	202.4908313530175	69.01983908259956	26.809197497871004	14.37405277884194	3.211104256775122	0.4312373769610922	0.2127372626842174	2.0	72.0	7.0	27.0	129.0	91.0	83.0	77.0	15.0	10.0
